input,label,output
"Our country is certainly in terrible shape.  Sure, we still have all kinds of freedoms, cultural diversity, emergency rooms and trauma care, agencies like the FDA out to protect us, the entertainment industry, a free market, national parks, we are considered the most powerful nation in the world, have amazing opportunities, and free public education, but still...",0,faulty generalization
Believing that the cause of the Reformation was simply Martin Luther posting his theses,1,false causality
You should give me a promotion. I have a lot of debt and am behind on my rent.,7,appeal to emotion
"I ask all employees to vote for my chosen candidate in the upcoming elections. If the other candidate wins, he will raise taxes and many of you will lose your jobs.",7,appeal to emotion
"In its origins [AIDS] was entirely a disease of sodomites... That the first case was diagnosed a little over a decade after the so-called Gay Rights and Gay Pride movement gained momentum and force can hardly be coincidental. - Harry Jaffa, Professor Emeritus of Political Philosophy at Claremont McKenna College",1,false causality
I'm gonna get an iPhone because everybody else has an iPhone and they're cool.,3,ad populum
"I think that we should reject what Father Jones has to say about the ethical issues of abortion because he is a Catholic priest. After all, Father Jones is required to hold such views",6,ad hominem
"Teachers claim that cell phones distract students, but they only say that because teachers have no lives.",6,ad hominem
"If we can send a woman into outerspace and communicate with them while they are there, then surely we can learn to communicate with one another in our state.",11,deductive fallacy
"If you don't turn in your homework, you will be getting a call home.",7,appeal to emotion
But this here research must go on. This space effort must go on is an example of which logical fallacy?,2,circular reasoning
"You didn't do your homework, did you? is an example of...",10,intentional fallacy
"After I listened to the first song of my favorite musician's new vinyl record, I knew I'd hate the entire record, so I converted it into a Frisbee.",0,faulty generalization
"President Clinton being a moral man, being married and loving his daughter; talking about the Bible; going to church",10,intentional fallacy
"Charlie: Illegal posting and sharing of songs online is crippling the music industry.
Bob: You couldn't be more wrong; the music industry is doing just fine! I can't believe you think the government should be allowed to regulate what I share with my friends. No one wants a world where I can't loan a book to my girlfriend, let my roommate borrow my iPod, or share a funny meme with my blog followers.",8,fallacy of extension
"Because I forgot to leave my porch light on, someone robbed my house.",1,false causality
Everyone is going to get the new smart phone when it comes out this weekend. Why aren't you?,3,ad populum
Cell phones stop students from concentrating in class because they are distracting.,2,circular reasoning
"I would have done my homework, but my refrigerator stopped working.",11,deductive fallacy
"If we let our child out of his room, eventually he will want to leave the house, and will end up on the street. If he is walking around on the street then he will be snatched up by a stranger and sold into slavery in a remote region on the World.",0,faulty generalization
"Every time I go to sleep the sun goes down. Therefore, my sleeping causes the sun to set.",1,false causality
"Sarah loves to wear running shoes, all girls must like to run.",0,faulty generalization
"Ladies and gentlemen of the jury, look at the bloody clothes, the murder weapon. Imagine the helpless screams of the victim. Such a crime deserves no verdict except guilty, guilty!",5,fallacy of relevance
"I know I missed assignments, but if you fail me, I will lose my financial aid and have to drop out.",7,appeal to emotion
Even though people say we are going to behave; we know they won't behave well.,0,faulty generalization
"A dog would be a great addition to our family. Think about how wonderful it would be to come home to a happy, excited, loving dog? This is an example of which persuasive technique?",7,appeal to emotion
